24,571774
24,571774
34,808135
60,425253
60,425253
168,752848
199,590867
252,312166
355,297862
366,967090
379,481293
413,590646
462,987586
581,347141
591,981227
611,538024
618,801365
694,725127
728,204442
834,834489
1094,660330
1275,318086
1372,584706
1421,856932
1424,775929
1494,583379
1503,860368
1503,860368
1556,817774
1583,955826
1612,162866
1615,993846
1740,885508
1769,464062
1781,290486
1855,104974
1855,104974
1918,939261
1962,477065
1999,721182
2113,915745
2132,795988
2178,176575
2181,790977
2188,956177
2423,415494
2482,745776
2525,203492
2545,969930
2601,962202
2621,511642
2633,167893
2657,253922
2711,213932
2749,812504
2771,272562
2786,815392
2865,483940
2868,124442
2938,267798
3038,528490
3109,473582
3134,577868
3186,201711
3216,669760
3246,739412
3272,821758
3272,821758
3328,627623
3330,832288
3342,999416
3547,631045
3557,728761
3593,431777
3705,500597
3828,521385
3943,273247
3951,292559
4125,528892
4155,649389
4155,649389
4390,482064
4426,364629
4427,658424
4430,426833
4498,987637
4576,187252
4612,670605
4671,667945
4735,365130
4743,199940
4855,111404
4955,591207
4996,527847
5089,731506
5147,752790
5155,812769
5295,813516
5457,622843
5457,622843
5459,766771
5479,497415
5518,682250
5528,769440
5585,670739
5661,310588
5688,693109
5709,325502
5894,451144
5934,986076
6053,836930
6102,785805
6296,176389
6308,540351
6371,811367
6478,485461
6504,753139
6540,167454
6549,223992
6549,223992
6639,183091
6702,550676
6840,410271
7052,782407
7082,701050
7149,339227
7247,731384
7378,331017
7448,968409
7486,380557
7553,846370
7581,409608
7605,303227
7610,842288
7671,547800
7671,547800
7703,446310
7713,561829
7765,501574
7818,290810
7843,132594
8119,298009
8172,374446
8189,896413
8189,896413
8224,896476
8301,392520
8402,368740
8539,181334
8632,565644
8641,834980
8651,414428
8710,630943
8818,923848
8837,497899
8879,476632
8911,316399
8945,216049
9008,240939
9059,192641
9072,366967
9086,179447
9179,213237
9355,673766
9397,441775
9407,669481
9478,878315
9515,515389
9714,121655
9824,346056
9829,393540
9838,731419
9870,271005
10003,390844
10835,172223
11016,247402
11900,690914
12042,440864
12147,911451
12498,609762
12909,392802
13007,376047
13031,926957
13168,900498
13278,831542
13437,738917
13752,729889
14257,754303
14460,252680
14692,620498
14698,601293
14776,260546
14867,434006
15058,895632
15066,175795
15305,855315
15600,727158
15787,898180
15842,592055
15897,393228
16626,470264
16825,902399
16867,469166
17255,690906
17326,564808
17420,730050
17420,730050
17474,868183
17495,705637
17595,584298
17636,332779
17694,298784
17765,355454
17765,355454
18042,796790
18216,400495
18236,652466
18319,350312
18570,883283
18885,187516
18956,570480
19087,775734
19172,747556
19249,419108
19262,724353
19262,724353
19284,411078
19363,726325
19525,709938
19727,746757
19782,312987
19835,306147
19933,880662
19940,895307
19966,502447
20420,283011
20427,319071
20913,986711
20985,480746
21011,318684
21085,663665
21093,383042
21137,112002
21260,144405
21411,157671
21501,314126
21518,828992
21576,544568
21585,523907
21608,561315
21615,327012
21712,794105
21712,794105
21740,543482
21778,365358
22114,805922
22208,346527
22311,716374
22383,267934
22383,267934
22410,350483
22467,357590
22555,586257
22586,633910
22797,238963
22866,246395
23035,129432
23053,765671
23135,923436
23202,802060
23303,794827
23327,647749
23459,880178
23545,940353
23557,611268
23570,645989
23598,334259
23607,844465
23691,277836
23719,591637
23807,874595
23954,808804
23964,447183
24203,241076
24324,501656
24400,167335
24437,214851
24446,179103
24454,398457
24549,220331
24582,164381
24650,927663
24702,728647
24705,376447
24732,439939
24733,398512
24795,553403
24892,775791
24892,775791
25005,487905
25109,926273
25186,774482
25237,572042
25286,398207
25324,703434
25325,844178
25417,359564
25423,617465
25471,235776
25511,210109
25530,549447
25678,803189
25762,658222
25762,658222
25781,741151
25805,839650
25806,291810
25807,835007
25809,429388
25882,330576
25937,254866
25939,564592
26130,682446
26132,288226
26397,483723
26540,251102
26658,891094
26662,219821
26781,999590
26919,330203
26985,793001
27108,911300
27285,851751
27328,415194
27361,144885
27380,276791
27393,967561
27483,487820
27528,124425
27528,124425
27567,870577
27586,940141
27653,419770
27708,952597
27758,160020
27805,187264
27903,304723
28032,736583
28106,283668
28117,134483
28129,257952
28139,250668
28196,971444
28314,121977
28557,879602
28623,312297
28745,528767
28791,959657
28834,517942
29056,288042
29203,938353
29487,118376
29586,599965
29684,205759
29713,886708
29939,253372
29950,338087
29996,191227
30118,150076
30241,974599
30373,391461
30426,730119
30475,324303
30554,492805
30581,358126
30634,789919
30755,502536
30851,301353
31240,463559
31470,349781
31489,421754
31779,532904
31896,507177
31918,658160
31945,994318
32203,784894
32225,721137
32228,299406
32283,494646
32611,132635
32961,769646
33013,627356
33600,396872
33911,681971
33966,876026
33982,237060
34019,597841
34112,571493
34142,560593
34351,789684
34844,887040
35128,174568
35247,610767
35392,900013
35744,824680
35995,769100
36025,517919
36112,715404
36236,130534
36336,978182
36503,897702
36556,359555
37422,304178
37607,784936
37642,306140
37672,317746
37686,628689
37729,246021
37795,341826
37857,371961
38063,212068
38093,524709
38300,246769
38392,886010
38467,757031
38569,465079
38594,769253
38780,455868
38782,213197
38873,109781
38960,176880
38960,176880
39049,946185
39193,696365
39472,488455
39543,850236
39609,548209
39823,894113
39891,969405
39908,676237
39992,494599
40101,706278
40130,982261
40262,487105
40296,662427
40363,173406
40471,289789
40479,609104
40605,783934
40860,480720
41250,755534
41457,916671
41633,867380
41744,436329
41761,992299
41874,474085
42362,567446
42375,903910
42845,878991
42986,386554
43031,912947
43129,731324
43183,697215
43275,173879
43655,925885
44215,461923
44569,627116
44579,643295
44643,454457
44699,172423
44710,718394
45023,475031
45538,100636
45949,656181
45954,307491
46171,194240
46220,426224
46418,114884
46508,918097
46574,684773
46578,308524
46606,416122
46639,692889
46887,420130
47027,487518
47045,927882
47172,417739
47188,206767
47353,782956
47472,234560
47567,338068
47595,158942
47742,523457
47792,778787
47856,684164
48018,283509
48018,283509
48038,610695
48081,199940
48115,888732
48120,961533
48212,934431
48225,792079
48277,524143
48546,334898
48576,124618
48651,399376
48690,556084
48791,116068
48823,216593
48959,452056
49052,842497
49221,161592
